"","co","name","time","city","loan","atot"
"85","1048997","SMITHTOWN BC","2001","HAUPPAUGE",281739,"380221"
"86","1049341","COMMERCE BSHRS","2001","KANSAS CITY",7636723,"12957344"
"87","1049828","UMB FC","2001","KANSAS CITY",2813758,"8730932"
"88","1050075","KANSAS BC","2001","JOHNSON",170085,"286423"
"89","1050600","GOLD BC","2001","LEAWOOD",2163754,"3014955"
"90","1050646","FIRST YORK BC","2001","YORK",331178,"487258"
"91","1050712","VALLEY VIEW BSHRS","2001","OVERLAND PARK",1368724,"2102219"
"92","1050909","CITIZENS BSHRS CO","2001","CHILLICOTHE",513906,"892610"
"93","1051081","FIRST NE BANCS","2001","SIDNEY",155035,"231935"
"94","1051465","CENTRAL SVC CORP","2001","ENID",249953,"369720"
"95","1051513","KANSAS NATURAL GAS","2001","HAYS",92092,"186016"
"96","1051906","BERCO","2001","SALINA",171498,"241297"
"97","1051979","WHITCORP FC","2001","LEOTI",301627,"440889"
"98","1052220","AMERICAN BC","2001","SAPULPA",174444,"392340"
"99","1052378","HNB CORP","2001","ARKANSAS CITY",412090,"587421"
"100","1052903","COLORADO FUNDING CO","2001","DENVER",192660,"255762"
"101","1053209","304 CORP","2001","OMAHA",110637,"190788"
"102","1053272","PINNACLE BC","2001","CENTRAL CITY",1991102,"2840707"
"103","1053339","COUNTRY AGY & INV","2001","ODESSA",186878,"406509"
"104","1053357","FARM & HOME INS AGY","2001","LYONS",84062,"157337"
"105","1053496","CCB FNCL CORP","2001","KANSAS CITY",230530,"432759"
"106","1053580","FARMERS & MRCH INV","2001","LINCOLN",962582,"1244675"
"107","1054000","EXCHANGE BSHRS CORP OF KS","2001","ATCHISON",169965,"250002"
"108","1054073","REPUBLIC TRINIDAD CORP","2001","HOUSTON",113278,"178143"
"109","1054091","MIDSTATE BC","2001","OKLAHOMA CITY",199793,"250397"
"110","1054514","LANDRUM CO","2001","COLUMBIA",596863,"851054"
"111","1054813","WASHINGTON INV CO","2001","YUMA",154640,"198410"
"112","1054840","MIDLAND FC","2001","CASPER",132602,"292787"
"113","1054925","LOVELAND SCTY","2001","LOVELAND",155074,"220721"
"114","1055007","CITYWIDE BKS CO","2001","DENVER",358779,"481780"
"115","1055089","HERITAGE GROUP","2001","AURORA",238681,"424452"
"116","1055155","FARMERS ENT","2001","GREAT BEND",178206,"304002"
"117","1055315","F&M BC","2001","TULSA",651929,"879364"
"118","1055427","CAPITAL CITY BSHRS","2001","TOPEKA",192937,"301150"
"119","1055623","ADBANC","2001","OGALLALA",219839,"265668"
"120","1055726","FIRST NAT CORP","2001","ARDMORE",134673,"248281"
"121","1055762","FIRST OF MCALESTER CORP","2001","MCALESTER",148308,"452758"
"122","1056125","CHAMBANCO","2001","CHAMBERS",22305,"38186"
"123","1056134","FIRST ALTUS BC","2001","ALTUS",52430,"194114"
"124","1056161","TRINITY CAP CORP","2001","LOS ALAMOS",650359,"809945"
"125","1056189","VALLEY BC","2001","BRIGHTON",111414,"168087"
"126","1056479","FIRST CO","2001","CODY",128120,"213569"
"127","1056657","KREY CO","2001","PRATT",109677,"185974"
"128","1056684","NBM CORP","2001","MCALESTER",177784,"267904"
"129","1056693","GUARANTY BSHRS CORP","2001","KANSAS CITY",146535,"192530"
"130","1056769","OTTAWA BSHRS","2001","SALINA",189801,"384308"
"131","1056835","CBI KANSAS","2001","KANSAS CITY",7131737,"11914696"
"132","1057113","WEST POINT BC","2001","WEST POINT",146900,"207848"
"133","1057430","VALLEY BSHRS","2001","VALLEY",102408,"155198"
"134","1057588","COMMERCE BK & TR HC","2001","TOPEKA",411733,"767919"
"135","1057702","PEOPLES","2001","LAWRENCE",482741,"663143"
"136","1057850","FIRST ST BSHRS","2001","SCOTTSBLUFF",218667,"278631"
"137","1057908","FIRST NAT BK OF GILLETTE HC","2001","GILLETTE",68513,"195990"
"138","1057935","GUARANTY CORP","2001","DENVER",850485,"1095438"
"139","1057962","QUAIL CREEK BSHRS","2001","OKLAHOMA CITY",172657,"240085"
"140","1057980","ARKANSAS VALLEY BSHRS","2001","BROKEN ARROW",92778,"191837"
"141","1058398","DURANT BC","2001","DURANT",623707,"850958"
"142","1058558","WOOD & HUSTON BC","2001","MARSHALL",258279,"319869"
"143","1058594","COPPERMARK BSHRS","2001","OKLAHOMA CITY",490705,"572913"
"144","1059340","TONGANOXIE BSHRS","2001","TONGANOXIE",124323,"170576"
"145","1059407","PIONEER BSHRS","2001","PONCA CITY",172397,"239461"
"146","1059715","AMERICAN NAT CORP","2001","OMAHA",766790,"1077782"
"147","1059975","CONVERSE CTY CAP CORP","2001","DOUGLAS",54599,"153764"
"148","1060328","COBIZ FNCL","2001","DENVER",682916,"925410"
"149","1060355","GREAT PLAINS BSHRS","2001","HOLLIS",111954,"154359"
"150","1060627","FIRSTBANK HC","2001","LAKEWOOD",1932496,"5504257"
"151","1061156","JONES NAT CORP","2001","SEWARD",103489,"163369"
"152","1061213","MOUNTAIN ST BC","2001","DENVER",160419,"295634"
"153","1061624","COMMUNITY BSHRS","2001","NEOSHO",127165,"264665"
"154","1061679","ALPINE BK OF CO","2001","GLENWOOD SPRINGS",653362,"908680"
"155","1061736","WEST GATE BSHRS","2001","LINCOLN",201180,"209423"
"156","1061893","EXCHANGE CO","2001","KEARNEY",113925,"173152"
"157","1062050","FIRST BROKEN ARROW CORP","2001","BROKEN ARROW",92168,"175958"
"158","1062135","SPIRIT BC","2001","BRISTOW",292732,"447930"
"159","1062528","FIRST PIONEER BC","2001","WRAY",95675,"174437"
